time,open,high,low,close
1771321680,24617.8,24618.7,24604.8,24604.8
1771321740,24605.4,24615.3,24601.5,24614.3
1771321800,24614.1,24614.5,24608.5,24609.9
1771321860,24610,24618,24610,24616.3
1771321920,24616.2,24617.7,24613.5,24613.7
1771321980,24614.1,24620.6,24612.8,24616.2
1771322040,24616,24619.7,24614.9,24618.6
1771322100,24619.4,24627.1,24619,24622.6
1771322160,24622.5,24626.5,24620,24625.1
1771322220,24625,24625.8,24617.1,24617.3
1771322280,24617.5,24619.9,24615.6,24616.1
1771322340,24616,24617.6,24612.7,24616.4
1771322400,24616.3,24622.3,24616.3,24618.2
1771322460,24618,24624.3,24614.3,24622.7
1771322520,24622.8,24622.8,24617.7,24622.2
1771322580,24621.9,24622.3,24618,24622
1771322640,24622.1,24629.2,24616.1,24616.2
1771322700,24616.7,24621,24614.7,24614.7
1771322760,24613.9,24617,24608.9,24613.2
1771322820,24613.6,24617.8,24610.5,24613
1771322880,24612.7,24613.4,24605.9,24605.9
1771322940,24605.7,24611.7,24604.7,24609.4
1771323000,24609.1,24609.1,24598.1,24599.3
1771323060,24599.7,24602.4,24596.4,24596.4
1771323120,24596.5,24597.8,24590.6,24593
1771323180,24593.3,24598.1,24589.2,24593.8
1771323240,24593.9,24594.3,24587.2,24594.1
1771323300,24594.4,24597.8,24584.5,24584.5
1771323360,24584.4,24588.8,24576.4,24588.8
1771323420,24588.7,24593.3,24588.2,24590.7
1771323480,24590.6,24592.6,24585.9,24592.4
1771323540,24592.3,24593.6,24587.3,24592.9
1771323600,24593,24596.2,24590.5,24591.9
1771323660,24591.5,24592.4,24585.5,24590.1
1771323720,24590,24594.5,24589.8,24593.6
1771323780,24593.3,24600.3,24591.4,24594.1
1771323840,24595.5,24597,24591.5,24593
1771323900,24592.9,24594.2,24587.9,24590.4
1771323960,24590.5,24593.9,24588,24593.8
1771324020,24593.7,24595.3,24587,24589.6
1771324080,24589.7,24592.4,24587.1,24588.4
1771324140,24588.5,24594.3,24588.4,24593.2
1771324200,24593.1,24593.1,24580.1,24581.8
